time	voltage	freq	vrms
0.000000	1.116268	0.000000	0.825446
0.031000	1.165120	0.504032	0.001840
0.062000	0.472643	1.008065	0.005070
0.093000	0.515388	1.512097	0.005519
0.124000	1.094284	2.016129	0.005619
0.155000	1.185882	2.520161	0.005577
0.186000	0.517831	3.024194	0.006632
0.217000	0.483635	3.528226	0.006512
0.248000	1.069858	4.032258	0.008046
0.279000	1.196873	4.536290	0.008959
0.310000	0.552027	5.040323	0.011434
0.341000	0.462872	5.544355	0.013537
0.372000	1.051539	6.048387	0.015825
0.403000	1.211529	6.552419	0.023239
0.434000	0.603322	7.056452	0.036873
0.465000	0.434783	7.560484	0.085250
0.496000	1.021006	8.064516	0.294024
0.527000	1.221299	8.568548	0.058881
0.558000	0.652174	9.072581	0.032655
0.589000	0.414021	9.576613	0.023025
0.620000	0.995359	10.080645	0.017177
0.651000	1.231070	10.584677	0.015040
0.682000	0.702247	11.088710	0.013587
0.713000	0.390816	11.592742	0.011558
0.744000	0.970933	12.096774	0.011241
0.775000	1.235955	12.600806	0.009458
0.806000	0.737665	13.104839	0.009567
0.837000	0.371275	13.608871	0.008885
0.868000	0.928188	14.112903	0.008922
0.899000	1.243283	14.616935	0.009417
0.930000	0.806058	15.120968	0.010965
0.961000	0.350513	15.625000	0.021236
0.992000	0.893991	16.129032	0.026487
1.023000	1.243283		
1.054000	0.846361		
1.085000	0.338300		
1.116000	0.861016		
1.147000	1.240840		
1.178000	0.884221		
1.209000	0.328530		
1.240000	0.828041		
1.271000	1.234734		
1.302000	0.923302		
1.333000	0.323644		
1.364000	0.792623		
1.395000	1.228627		
1.426000	0.967269		
1.457000	0.322423		
1.488000	0.741329		
1.519000	1.212750		
1.550000	1.012457		
1.581000	0.330972		
1.612000	0.702247		
1.643000	1.199316		
1.674000	1.044211		
1.705000	0.344406		
1.736000	0.664387		
1.767000	1.180997		
1.798000	1.079629		
1.829000	0.366390		
1.860000	0.625305		
1.891000	1.165120		
1.922000	1.104055		
1.953000	0.392037		
