time	voltage	freq	vrms
0.000000	0.265022	0.000000	0.601948
0.031000	0.404250	0.504032	0.000047
0.062000	0.953835	1.008065	0.000207
0.093000	0.727894	1.512097	0.000440
0.124000	0.161212	2.016129	0.000257
0.155000	0.699805	2.520161	0.000175
0.186000	0.979482	3.024194	0.000672
0.217000	0.346849	3.528226	0.000272
0.248000	0.335857	4.032258	0.003262
0.279000	0.917196	4.536290	0.000517
0.310000	0.801172	5.040323	0.006686
0.341000	0.156326	5.544355	0.001350
0.372000	0.633854	6.048387	0.000390
0.403000	0.991695	6.552419	0.001450
0.434000	0.443332	7.056452	0.000301
0.465000	0.282120	7.560484	0.000852
0.496000	0.876893	8.064516	0.001912
0.527000	0.856131	8.568548	0.007450
0.558000	0.166097	9.072581	0.295037
0.589000	0.561798	9.576613	0.006750
0.620000	0.991695	10.080645	0.002917
0.651000	0.532487	10.584677	0.001126
0.682000	0.230826	11.088710	0.000574
0.713000	0.830484	11.592742	0.001501
0.744000	0.903762	12.096774	0.000678
0.775000	0.195408	12.600806	0.001103
0.806000	0.498290	13.104839	0.001427
0.837000	0.984367	13.608871	0.000846
0.868000	0.610650	14.112903	0.028824
0.899000	0.199072	14.616935	0.001478
0.930000	0.786517	15.120968	0.000486
0.961000	0.937958	15.625000	0.000216
0.992000	0.238153	16.129032	0.000114
1.023000	0.429897		
1.054000	0.964827		
1.085000	0.702247		
1.116000	0.169761		
1.147000	0.725452		
1.178000	0.970933		
1.209000	0.312653		
1.240000	0.366390		
1.271000	0.933073		
1.302000	0.777968		
1.333000	0.152662		
1.364000	0.649731		
1.395000	0.986810		
1.426000	0.422570		
1.457000	0.288227		
1.488000	0.884221		
1.519000	0.859795		
1.550000	0.164875		
1.581000	0.553249		
1.612000	0.990474		
1.643000	0.544700		
1.674000	0.224719		
1.705000	0.823156		
1.736000	0.918417		
1.767000	0.207621		
1.798000	0.468979		
1.829000	0.977040		
1.860000	0.669272		
1.891000	0.174646		
1.922000	0.746214		
1.953000	0.963605		
