time	voltage	freq	vrms
0.000000	0.726673	0.000000	1.373036
0.039000	1.242062	0.200321	0.005206
0.078000	1.638984	0.400641	0.002828
0.117000	1.819736	0.600962	0.004532
0.156000	1.789204	0.801282	0.003636
0.195000	1.428920	1.001603	0.004377
0.234000	0.701026	1.201923	0.005595
0.273000	0.868344	1.402244	0.006720
0.312000	1.376404	1.602564	0.008008
0.351000	1.714704	1.802885	0.008147
0.390000	1.834392	2.003205	0.008535
0.429000	1.722032	2.203526	0.010970
0.468000	1.238398	2.403846	0.010524
0.507000	0.624084	2.604167	0.014090
0.546000	1.027113	2.804487	0.019677
0.585000	1.497313	3.004808	0.022512
0.624000	1.769663	3.205128	0.036213
0.663000	1.836834	3.405449	0.050564
0.702000	1.642648	3.605769	0.150579
0.741000	1.049096	3.806090	0.340107
0.780000	0.657059	4.006410	0.103766
0.819000	1.156571	4.206731	0.041636
0.858000	1.590132	4.407051	0.031717
0.897000	1.807523	4.607372	0.023908
0.936000	1.813630	4.807692	0.019560
0.975000	1.510747	5.008013	0.017893
1.014000	0.798730	5.208333	0.013150
1.053000	0.779189	5.408654	0.010819
1.092000	1.304348	5.608974	0.009750
1.131000	1.676844	5.809295	0.009096
1.170000	1.829507	6.009615	0.007497
1.209000	1.763556	6.209936	0.008176
1.248000	1.336102	6.410256	0.006657
1.287000	0.644846	6.610577	0.002807
1.326000	0.937958	6.810897	0.005935
1.365000	1.431363	7.011218	0.004516
1.404000	1.744016	7.211538	0.022070
1.443000	1.838056	7.411859	0.059143
1.482000	1.702491	7.612179	0.054269
1.521000	1.179775	7.812500	0.035626
1.560000	0.621641	8.012821	0.019410
1.599000	1.063752	8.213141	0.014564
1.638000	1.524182	8.413462	0.013655
1.677000	1.785540	8.613782	0.011737
1.716000	1.830728	8.814103	0.011955
1.755000	1.598681	9.014423	0.010568
1.794000	0.956277	9.214744	0.009451
1.833000	0.697362	9.415064	0.008694
1.872000	1.210308	9.615385	0.008831
1.911000	1.624328	9.815705	0.008223
1.950000	1.816072	10.016026	0.008432
1.989000	1.803859	10.216346	0.010611
2.028000	1.493649	10.416667	0.008259
2.067000	0.791402	10.616987	0.001240
2.106000	0.770640	10.817308	0.011882
2.145000	1.283586	11.017628	0.016061
2.184000	1.669516	11.217949	0.015533
2.223000	1.825843	11.418269	0.013561
2.262000	1.780655	11.618590	0.013599
2.301000	1.427699	11.818910	0.009364
2.340000	0.710796	12.019231	0.007992
2.379000	0.820713	12.219551	0.008328
2.418000	1.336102	12.419872	0.007731
2.457000	1.695164	12.620192	0.008488
2.496000	1.830728	12.820513	0.006002
2.535000	1.759893		
2.574000	1.364191		
2.613000	0.655838		
2.652000	0.891549		
2.691000	1.388617		
2.730000	1.719590		
2.769000	1.835613		
2.808000	1.745237		
2.847000	1.311676		
2.886000	0.632633		
2.925000	0.937958		
2.964000	1.417929		
3.003000	1.736688		
3.042000	1.836834		
3.081000	1.718368		
3.120000	1.246947		
3.159000	0.619199		
3.198000	0.996580		
3.237000	1.461895		
3.276000	1.758671		
3.315000	1.836834		
3.354000	1.686615		
3.393000	1.177333		
3.432000	0.617978		
3.471000	1.049096		
3.510000	1.502198		
3.549000	1.774548		
3.588000	1.833170		
3.627000	1.654861		
3.666000	1.099170		
3.705000	0.635076		
3.744000	1.104055		
3.783000	1.540059		
3.822000	1.785540		
3.861000	1.831949		
3.900000	1.630435		
3.939000	1.036883		
3.978000	0.649731		
4.017000	1.143136		
4.056000	1.565706		
4.095000	1.796532		
4.134000	1.825843		
4.173000	1.593796		
4.212000	0.967269		
4.251000	0.677821		
4.290000	1.187103		
4.329000	1.591353		
4.368000	1.805081		
4.407000	1.824621		
4.446000	1.568149		
4.485000	0.933073		
4.524000	0.698583		
4.563000	1.215193		
4.602000	1.613337		
4.641000	1.811187		
4.680000	1.808745		
4.719000	1.521739		
4.758000	0.848803		
4.797000	0.740107		
4.836000	1.255496		
4.875000	1.638984		
4.914000	1.817294		
4.953000	1.798974		
