time	voltage	freq	vrms
0.000000	1.524182	0.000000	1.359058
0.031000	0.895213	0.504032	0.022552
0.062000	0.784074	1.008065	0.024751
0.093000	1.235955	1.512097	0.025023
0.124000	1.638984	2.016129	0.027334
0.155000	1.829507	2.520161	0.031258
0.186000	1.779433	3.024194	0.034698
0.217000	1.393503	3.528226	0.051299
0.248000	0.758427	4.032258	0.076476
0.279000	0.890327	4.536290	0.194307
0.310000	1.353200	5.040323	0.288377
0.341000	1.711041	5.544355	0.088328
0.372000	1.846605	6.048387	0.042799
0.403000	1.724475	6.552419	0.033461
0.434000	1.257938	7.056452	0.024267
0.465000	0.705911	7.560484	0.020484
0.496000	0.997802	8.064516	0.015178
0.527000	1.450904	8.568548	0.016786
0.558000	1.763556	9.072581	0.025401
0.589000	1.845383	9.576613	0.071788
0.620000	1.640205	10.080645	0.014473
0.651000	1.090620	10.584677	0.006039
0.682000	0.715681	11.088710	0.002885
0.713000	1.115046	11.592742	0.001941
0.744000	1.551050	12.096774	0.002086
0.775000	1.801417	12.600806	0.005870
0.806000	1.823400	13.104839	0.006905
0.837000	1.530288	13.608871	0.007287
0.868000	0.908647	14.112903	0.010252
0.899000	0.777968	14.616935	0.015426
0.930000	1.233512	15.120968	0.008260
0.961000	1.637763	15.625000	0.004287
0.992000	1.829507	16.129032	0.002805
1.023000	1.779433		
1.054000	1.395945		
1.085000	0.757206		
1.116000	0.901319		
1.147000	1.367855		
1.178000	1.724475		
1.209000	1.846605		
1.240000	1.667074		
1.271000	1.118710		
1.302000	0.724231		
1.333000	1.124817		
1.364000	1.564485		
1.395000	1.807523		
1.426000	1.807523		
1.457000	1.458232		
1.488000	0.803615		
1.519000	0.873229		
1.550000	1.342208		
1.581000	1.709819		
1.612000	1.846605		
1.643000	1.695164		
1.674000	1.179775		
1.705000	0.713239		
1.736000	1.084514		
1.767000	1.531510		
1.798000	1.797753		
1.829000	1.822179		
1.860000	1.502198		
1.891000	0.861016		
1.922000	0.831705		
1.953000	1.298241		
