time	voltage	freq	vrms
0.000000	1.720811	0.000000	1.362608
0.039000	1.430142	0.200321	0.010522
0.078000	0.801172	0.400641	0.009077
0.117000	0.620420	0.600962	0.009887
0.156000	1.088178	0.801282	0.010470
0.195000	1.453346	1.001603	0.010298
0.234000	1.686615	1.201923	0.011184
0.273000	1.795310	1.402244	0.011402
0.312000	1.806302	1.602564	0.012333
0.351000	1.681729	1.802885	0.014690
0.390000	1.319003	2.003205	0.018660
0.429000	0.661944	2.203526	0.023324
0.468000	0.710796	2.403846	0.026245
0.507000	1.179775	2.604167	0.066242
0.546000	1.508305	2.804487	0.131329
0.585000	1.717147	3.004808	0.344030
0.624000	1.805081	3.205128	0.111194
0.663000	1.800195	3.405449	0.040226
0.702000	1.659746	3.605769	0.028002
0.741000	1.265266	3.806090	0.022523
0.780000	0.600879	4.006410	0.016840
0.819000	0.751099	4.206731	0.016712
0.858000	1.220078	4.407051	0.014980
0.897000	1.538837	4.607372	0.012756
0.936000	1.730581	4.807692	0.010896
0.975000	1.807523	5.008013	0.014890
1.014000	1.792868	5.208333	0.013040
1.053000	1.626771	5.408654	0.018844
1.092000	1.191988	5.608974	0.048352
1.131000	0.564240	5.809295	0.067580
1.170000	0.818271	6.009615	0.065582
1.209000	1.260381	6.209936	0.042929
1.248000	1.558378	6.410256	0.013571
1.287000	1.741573	6.610577	0.011135
1.326000	1.807523	6.810897	0.007692
1.365000	1.787982	7.011218	0.006122
1.404000	1.617000	7.211538	0.004820
1.443000	1.149243	7.411859	0.004524
1.482000	0.547142	7.612179	0.005979
1.521000	0.842697	7.812500	0.002982
1.560000	1.281143	8.012821	0.005347
1.599000	1.580362	8.213141	0.001811
1.638000	1.751343	8.413462	0.012308
1.677000	1.808745	8.613782	0.024480
1.716000	1.780655	8.814103	0.024065
1.755000	1.598681	9.014423	0.020221
1.794000	1.126038	9.214744	0.014212
1.833000	0.547142	9.415064	0.004097
1.872000	0.881778	9.615385	0.003281
1.911000	1.297020	9.815705	0.002029
1.950000	1.591353	10.016026	0.001658
1.989000	1.759893	10.216346	0.000641
2.028000	1.809966	10.416667	0.001829
2.067000	1.774548	10.616987	0.005070
2.106000	1.566927	10.817308	0.001715
2.145000	1.042990	11.017628	0.003836
2.184000	0.550806	11.217949	0.004725
2.223000	0.957499	11.418269	0.008474
2.262000	1.369077	11.618590	0.011132
2.301000	1.638984	11.818910	0.006819
2.340000	1.780655	12.019231	0.010707
2.379000	1.812408	12.219551	0.005304
2.418000	1.719590	12.419872	0.001268
2.457000	1.416707	12.620192	0.000714
2.496000	0.766976	12.820513	0.000305
2.535000	0.664387		
2.574000	1.138251		
2.613000	1.489985		
2.652000	1.711041		
2.691000	1.803859		
2.730000	1.797753		
2.769000	1.626771		
2.808000	1.161456		
2.847000	0.555691		
2.886000	0.870787		
2.925000	1.312897		
2.964000	1.603566		
3.003000	1.765999		
3.042000	1.811187		
3.081000	1.739130		
3.120000	1.460674		
3.159000	0.835369		
3.198000	0.626527		
3.237000	1.095506		
3.276000	1.459453		
3.315000	1.697606		
3.354000	1.801417		
3.393000	1.800195		
3.432000	1.634099		
3.471000	1.170005		
3.510000	0.559355		
3.549000	0.870787		
3.588000	1.310454		
3.627000	1.599902		
3.666000	1.763556		
3.705000	1.812408		
3.744000	1.739130		
3.783000	1.450904		
3.822000	0.819492		
3.861000	0.637518		
3.900000	1.104055		
3.939000	1.465559		
3.978000	1.702491		
4.017000	1.800195		
4.056000	1.795310		
4.095000	1.624328		
4.134000	1.148021		
4.173000	0.554470		
4.212000	0.898876		
4.251000	1.336102		
4.290000	1.625550		
4.329000	1.774548		
4.368000	1.811187		
4.407000	1.719590		
4.446000	1.406937		
4.485000	0.749878		
4.524000	0.679043		
4.563000	1.152907		
4.602000	1.502198		
4.641000	1.719590		
4.680000	1.805081		
4.719000	1.784319		
4.758000	1.580362		
4.797000	1.049096		
4.836000	0.554470		
4.875000	0.967269		
4.914000	1.377626		
4.953000	1.649976		
