time	voltage	freq	vrms
0.000000	0.433561	0.000000	0.054920
0.031000	0.388373	0.504032	0.000796
0.062000	-0.273571	1.008065	0.002002
0.093000	-0.371275	1.512097	0.002203
0.124000	0.190523	2.016129	0.002464
0.155000	0.493405	2.520161	0.004018
0.186000	0.210064	3.024194	0.004022
0.217000	-0.470200	3.528226	0.006388
0.248000	-0.174646	4.032258	0.004936
0.279000	0.356619	4.536290	0.013254
0.310000	0.462872	5.040323	0.013224
0.341000	-0.061065	5.544355	0.017588
0.372000	-0.464094	6.048387	0.026440
0.403000	0.050073	6.552419	0.071072
0.434000	0.460430	7.056452	0.326753
0.465000	0.345628	7.560484	0.055172
0.496000	-0.357841	8.064516	0.027889
0.527000	-0.305325	8.568548	0.019553
0.558000	0.258915	9.072581	0.016503
0.589000	0.495848	9.576613	0.013874
0.620000	0.122130	10.080645	0.010866
0.651000	-0.490962	10.584677	0.010554
0.682000	-0.092819	11.088710	0.006806
0.713000	0.400586	11.592742	0.016861
0.744000	0.439668	12.096774	0.012218
0.775000	-0.157548	12.600806	0.011996
0.806000	-0.423791	13.104839	0.013161
0.837000	0.118466	13.608871	0.024852
0.868000	0.483635	14.112903	0.031218
0.899000	0.284563	14.616935	0.008811
0.930000	-0.423791	15.120968	0.005863
0.961000	-0.255252	15.625000	0.005532
0.992000	0.299218	16.129032	0.003969
1.023000	0.492184		
1.054000	0.067171		
1.085000	-0.489741		
1.116000	-0.048852		
1.147000	0.423791		
1.178000	0.405471		
1.209000	-0.234489		
1.240000	-0.389595		
1.271000	0.163654		
1.302000	0.492184		
1.333000	0.251588		
1.364000	-0.450660		
1.395000	-0.214949		
1.426000	0.328530		
1.457000	0.478749		
1.488000	-0.006106		
1.519000	-0.477528		
1.550000	0.013434		
1.581000	0.450660		
1.612000	0.373718		
1.643000	-0.313874		
1.674000	-0.338300		
1.705000	0.225940		
1.736000	0.498290		
1.767000	0.162433		
1.798000	-0.484856		
1.829000	-0.127015		
1.860000	0.385931		
1.891000	0.454323		
1.922000	-0.112360		
1.953000	-0.437225		
