time	voltage	freq	vrms
0.000000	1.543723	0.000000	1.389658
0.039000	1.682951	0.100160	0.012466
0.078000	1.758671	0.200321	0.009839
0.117000	1.783097	0.300481	0.008528
0.156000	1.778212	0.400641	0.008467
0.195000	1.730581	0.500801	0.009033
0.234000	1.580362	0.600962	0.009817
0.273000	1.200537	0.701122	0.010498
0.312000	0.586224	0.801282	0.010757
0.351000	0.610650	0.901442	0.010682
0.390000	1.055203	1.001603	0.011302
0.429000	1.344651	1.101763	0.012511
0.468000	1.551050	1.201923	0.015135
0.507000	1.689057	1.302083	0.016532
0.546000	1.759893	1.402244	0.017892
0.585000	1.784319	1.502404	0.017056
0.624000	1.776991	1.602564	0.019164
0.663000	1.724475	1.702724	0.025952
0.702000	1.569370	1.802885	0.042391
0.741000	1.191988	1.903045	0.060541
0.780000	0.572789	2.003205	0.093177
0.819000	0.626527	2.103365	0.116390
0.858000	1.067416	2.203526	0.120710
0.897000	1.358085	2.303686	0.312590
0.936000	1.560821	2.403846	0.017152
0.975000	1.695164	2.504006	0.021310
1.014000	1.761114	2.604167	0.030790
1.053000	1.783097	2.704327	0.023661
1.092000	1.778212	2.804487	0.022748
1.131000	1.718368	2.904647	0.016811
1.170000	1.563263	3.004808	0.013529
1.209000	1.176111	3.104968	0.012467
1.248000	0.563019	3.205128	0.014066
1.287000	0.636297	3.305288	0.012591
1.326000	1.068637	3.405449	0.012466
1.365000	1.358085	3.505609	0.010275
1.404000	1.560821	3.605769	0.009580
1.443000	1.693942	3.705929	0.009846
1.482000	1.758671	3.806090	0.013957
1.521000	1.783097	3.906250	0.017215
1.560000	1.779433	4.006410	0.017151
1.599000	1.730581	4.106571	0.011339
1.638000	1.591353	4.206731	0.007099
1.677000	1.233512	4.306891	0.032891
1.716000	0.609428	4.407051	0.062198
1.755000	0.616756	4.507212	0.078939
1.794000	1.058867	4.607372	0.081044
1.833000	1.365413	4.707532	0.027488
1.872000	1.574255	4.807692	0.011011
1.911000	1.704934	4.907853	0.004143
1.950000	1.769663	5.008013	0.000896
1.989000	1.784319	5.108173	0.004105
2.028000	1.758671	5.208333	0.002706
2.067000	1.638984	5.308494	0.002350
2.106000	1.344651	5.408654	0.001746
2.145000	0.742550	5.508814	0.003154
2.184000	0.556913	5.608974	0.003454
2.223000	0.990474	5.709135	0.003501
2.262000	1.319003	5.809295	0.002909
2.301000	1.546165	5.909455	0.002267
2.340000	1.692721	6.009615	0.002848
2.379000	1.761114	6.109776	0.007295
2.418000	1.784319	6.209936	0.012257
2.457000	1.769663	6.310096	0.017518
2.496000	1.665852	6.410256	0.019854
2.535000	1.413043	6.510417	0.018707
2.574000	0.857352	6.610577	0.003994
2.613000	0.512946	6.710737	0.017347
2.652000	0.920860	6.810897	0.031964
2.691000	1.273815	6.911058	0.031806
2.730000	1.514411	7.011218	0.014585
2.769000	1.671959	7.111378	0.006500
2.808000	1.752565	7.211538	0.000976
2.847000	1.784319	7.311699	0.001650
2.886000	1.774548	7.411859	0.002182
2.925000	1.687836	7.512019	0.001727
