time	voltage	freq	vrms
0.000000	1.104055	0.000000	0.781531
0.039000	1.096727	0.100160	0.006380
0.078000	1.063752	0.200321	0.004435
0.117000	0.961163	0.300481	0.003696
0.156000	0.785296	0.400641	0.007218
0.195000	0.366390	0.500801	0.005077
0.234000	-0.190523	0.600962	0.006489
0.273000	-0.046409	0.701122	0.005124
0.312000	0.362726	0.801282	0.006482
0.351000	0.602101	0.901442	0.010015
0.390000	0.773083	1.001603	0.018324
0.429000	0.886663	1.101763	0.016685
0.468000	0.959941	1.201923	0.017815
0.507000	1.023449	1.302083	0.047805
0.546000	1.060088	1.402244	0.126218
0.585000	1.085735	1.502404	0.265344
0.624000	1.105276	1.602564	0.155675
0.663000	1.112604	1.702724	0.030207
0.702000	1.111383	1.802885	0.008408
0.741000	1.104055	1.903045	0.015588
0.780000	1.094284	2.003205	0.005624
0.819000	1.064973	2.103365	0.015190
0.858000	0.970933	2.203526	0.009632
0.897000	0.818271	2.303686	0.015400
0.936000	0.428676	2.403846	0.020158
0.975000	-0.146556	2.504006	0.024176
1.014000	-0.098925	2.604167	0.018807
1.053000	0.313874	2.704327	0.024178
1.092000	0.575232	2.804487	0.053491
1.131000	0.755984	2.904647	0.076463
1.170000	0.875672	3.004808	0.047806
1.209000	0.956277	3.104968	0.115599
1.248000	1.025892	3.205128	0.047112
1.287000	1.062531	3.305288	0.007237
1.326000	1.082071	3.405449	0.008107
1.365000	1.104055	3.505609	0.008457
1.404000	1.111383	3.605769	0.014740
1.443000	1.111383	3.705929	0.010783
1.482000	1.104055	3.806090	0.018737
1.521000	1.096727	3.906250	0.018479
1.560000	1.079629	4.006410	0.014381
1.599000	1.006351	4.106571	0.014041
1.638000	0.872008	4.206731	0.019375
1.677000	0.538593	4.306891	0.031131
1.716000	-0.019541	4.407051	0.019676
1.755000	-0.179531	4.507212	0.024912
1.794000	0.212506	4.607372	0.047998
1.833000	0.520274	4.707532	0.044509
1.872000	0.714460	4.807692	0.018895
1.911000	0.858574	4.907853	0.002907
1.950000	0.946507	5.008013	0.010795
1.989000	1.013679	5.108173	0.010334
2.028000	1.055203	5.208333	0.012372
2.067000	1.074744	5.308494	0.014634
2.106000	1.102833	5.408654	0.009847
2.145000	1.108940	5.508814	0.005203
2.184000	1.108940	5.608974	0.010037
2.223000	1.105276	5.709135	0.009694
2.262000	1.084514	5.809295	0.010325
2.301000	1.006351	5.909455	0.006616
2.340000	0.847582	6.009615	0.021276
2.379000	0.442110	6.109776	0.006504
2.418000	-0.140449	6.209936	0.025669
2.457000	-0.065950	6.310096	0.020586
2.496000	0.349292	6.410256	0.003413
2.535000	0.615535	6.510417	0.010457
2.574000	0.801172	6.610577	0.007187
2.613000	0.918417	6.710737	0.010127
2.652000	0.999023	6.810897	0.007892
2.691000	1.051539	6.911058	0.001785
2.730000	1.077186	7.011218	0.003121
2.769000	1.104055	7.111378	0.005535
2.808000	1.111383	7.211538	0.002092
2.847000	1.106497	7.311699	0.001622
2.886000	1.099170	7.411859	0.009392
2.925000	1.069858	7.512019	0.007028
2.964000	0.962384	7.612179	0.008589
3.003000	0.740107	7.712340	0.009029
3.042000	0.266243	7.812500	0.014688
3.081000	-0.212506	7.912660	0.008570
3.120000	0.072057	8.012821	0.008329
3.159000	0.450660	8.112981	0.004770
3.198000	0.671715	8.213141	0.006146
3.237000	0.829262	8.313301	0.002382
3.276000	0.928188	8.413462	0.002502
3.315000	1.002687	8.513622	0.002604
3.354000	1.050318	8.613782	0.001632
3.393000	1.074744	8.713942	0.001059
3.432000	1.105276	8.814103	0.002731
3.471000	1.111383	8.914263	0.004502
3.510000	1.106497	9.014423	0.002164
3.549000	1.096727	9.114583	0.007965
3.588000	1.057645	9.214744	0.000096
3.627000	0.936737	9.314904	0.007097
3.666000	0.670493	9.415064	0.008395
