time	voltage	freq	vrms
0.000000	1.511969	0.000000	1.361234
0.031000	0.917196	0.504032	0.026484
0.062000	0.725452	1.008065	0.028946
0.093000	1.143136	1.512097	0.032064
0.124000	1.535173	2.016129	0.036470
0.155000	1.783097	2.520161	0.042457
0.186000	1.852711	3.024194	0.058364
0.217000	1.711041	3.528226	0.090811
0.248000	1.275037	4.032258	0.224343
0.279000	0.693698	4.536290	0.275002
0.310000	0.906204	5.040323	0.074473
0.341000	1.340987	5.544355	0.043780
0.372000	1.679287	6.048387	0.032611
0.403000	1.835613	6.552419	0.023235
0.434000	1.809966	7.056452	0.019664
0.465000	1.527846	7.560484	0.019599
0.496000	0.935515	8.064516	0.023569
0.527000	0.720567	8.568548	0.091303
0.558000	1.134587	9.072581	0.005263
0.589000	1.530288	9.576613	0.006210
0.620000	1.781876	10.080645	0.006576
0.651000	1.851490	10.584677	0.003845
0.682000	1.700049	11.088710	0.007312
0.713000	1.248168	11.592742	0.007698
0.744000	0.686370	12.096774	0.008665
0.775000	0.923302	12.600806	0.011830
0.806000	1.358085	13.104839	0.019503
0.837000	1.690278	13.608871	0.004828
0.868000	1.838056	14.112903	0.003982
0.899000	1.802638	14.616935	0.005060
0.930000	1.493649	15.120968	0.009644
0.961000	0.883000	15.625000	0.004532
0.992000	0.735222	16.129032	0.002614
1.023000	1.162677		
1.054000	1.557157		
1.085000	1.792868		
1.116000	1.849047		
1.147000	1.679287		
1.178000	1.196873		
1.209000	0.675379		
1.240000	0.957499		
1.271000	1.392281		
1.302000	1.713483		
1.333000	1.842941		
1.364000	1.783097		
1.395000	1.446019		
1.426000	0.820713		
1.457000	0.764533		
1.488000	1.205423		
1.519000	1.590132		
1.550000	1.805081		
1.581000	1.845383		
1.612000	1.658525		
1.643000	1.161456		
1.674000	0.669272		
1.705000	0.977040		
1.736000	1.406937		
1.767000	1.714704		
1.798000	1.842941		
1.829000	1.792868		
1.860000	1.477772		
1.891000	0.865901		
1.922000	0.740107		
1.953000	1.170005		
