time	voltage	freq	vrms
0.000000	0.874450	0.000000	1.377683
0.031000	1.387396	0.504032	0.002015
0.062000	1.774548	1.008065	0.001547
0.093000	1.780655	1.512097	0.001361
0.124000	1.278701	2.016129	0.002181
0.155000	0.788959	2.520161	0.002122
0.186000	1.215193	3.024194	0.001987
0.217000	1.687836	3.528226	0.002159
0.248000	1.831949	4.032258	0.002408
0.279000	1.498534	4.536290	0.001834
0.310000	0.820713	5.040323	0.003972
0.341000	1.035662	5.544355	0.007077
0.372000	1.560821	6.048387	0.362300
0.403000	1.829507	6.552419	0.005535
0.434000	1.664631	7.056452	0.002806
0.465000	1.003908	7.560484	0.000626
0.496000	0.889106	8.064516	0.006497
0.527000	1.403273	8.568548	0.000922
0.558000	1.780655	9.072581	0.000423
0.589000	1.772106	9.576613	0.000511
0.620000	1.255496	10.080645	0.000793
0.651000	0.792623	10.584677	0.000292
0.682000	1.234734	11.088710	0.001053
0.713000	1.701270	11.592742	0.001838
0.744000	1.825843	12.096774	0.053785
0.775000	1.470445	12.600806	0.001863
0.806000	0.808500	13.104839	0.000732
0.837000	1.063752	13.608871	0.000568
0.868000	1.580362	14.112903	0.014005
0.899000	1.833170	14.616935	0.000910
0.930000	1.646312	15.120968	0.000573
0.961000	0.972154	15.625000	0.000125
0.992000	0.908647	16.129032	0.000706
1.023000	1.424035		
1.054000	1.787982		
1.085000	1.763556		
1.116000	1.233512		
1.147000	0.798730		
1.178000	1.248168		
1.209000	1.706155		
1.240000	1.829507		
1.271000	1.469223		
1.302000	0.807279		
1.333000	1.067416		
1.364000	1.586468		
1.395000	1.831949		
1.426000	1.643869		
1.457000	0.968490		
1.488000	0.908647		
1.519000	1.425256		
1.550000	1.789204		
1.581000	1.761114		
1.612000	1.223742		
1.643000	0.796287		
1.674000	1.249389		
1.705000	1.708598		
1.736000	1.827064		
1.767000	1.461895		
1.798000	0.803615		
1.829000	1.071080		
1.860000	1.586468		
1.891000	1.831949		
1.922000	1.632877		
1.953000	0.956277		
