time	voltage	freq	vrms
0.000000	0.715681	0.000000	1.366462
0.039000	0.606986	0.100160	0.008464
0.078000	1.061309	0.200321	0.010174
0.117000	1.394724	0.300481	0.010430
0.156000	1.618222	0.400641	0.010298
0.195000	1.740352	0.500801	0.010150
0.234000	1.789204	0.600962	0.010690
0.273000	1.780655	0.701122	0.010279
0.312000	1.668295	0.801282	0.010625
0.351000	1.382511	0.901442	0.011030
0.390000	0.771861	1.001603	0.010862
0.429000	0.574011	1.101763	0.011120
0.468000	1.023449	1.201923	0.012435
0.507000	1.367855	1.302083	0.013096
0.546000	1.606009	1.402244	0.012123
0.585000	1.734245	1.502404	0.014190
0.624000	1.787982	1.602564	0.013644
0.663000	1.787982	1.702724	0.017987
0.702000	1.691500	1.802885	0.018198
0.741000	1.433806	1.903045	0.022823
0.780000	0.858574	2.003205	0.021793
0.819000	0.541036	2.103365	0.028643
0.858000	0.967269	2.203526	0.034328
0.897000	1.333659	2.303686	0.049396
0.936000	1.579140	2.403846	0.184972
0.975000	1.719590	2.504006	0.236679
1.014000	1.784319	2.604167	0.184009
1.053000	1.794089	2.704327	0.134612
1.092000	1.731803	2.804487	0.025845
1.131000	1.537616	2.904647	0.038089
1.170000	1.055203	3.004808	0.021359
1.209000	0.509282	3.104968	0.016749
1.248000	0.823156	3.205128	0.016175
1.287000	1.234734	3.305288	0.013333
1.326000	1.516854	3.405449	0.010335
1.365000	1.689057	3.505609	0.009747
1.404000	1.775769	3.605769	0.010381
1.443000	1.795310	3.705929	0.005979
1.482000	1.762335	3.806090	0.006921
1.521000	1.623107	3.906250	0.005465
1.560000	1.265266	4.006410	0.005651
1.599000	0.627748	4.106571	0.003767
1.638000	0.635076	4.206731	0.003606
1.677000	1.088178	4.306891	0.002222
1.716000	1.406937	4.407051	0.002202
1.755000	1.618222	4.507212	0.005012
1.794000	1.739130	4.607372	0.004159
1.833000	1.790425	4.707532	0.011135
1.872000	1.786761	4.807692	0.032445
1.911000	1.713483	4.907853	0.053632
1.950000	1.504641	5.008013	0.055040
1.989000	0.986810	5.108173	0.038754
2.028000	0.500733	5.208333	0.086177
2.067000	0.862237	5.308494	0.042041
2.106000	1.260381	5.408654	0.011108
2.145000	1.521739	5.508814	0.011401
2.184000	1.687836	5.608974	0.008011
2.223000	1.774548	5.709135	0.006933
2.262000	1.792868	5.809295	0.008294
2.301000	1.765999	5.909455	0.006071
2.340000	1.621886	6.009615	0.006368
2.379000	1.253053	6.109776	0.004763
2.418000	0.620420	6.209936	0.006028
2.457000	0.633854	6.310096	0.004594
2.496000	1.097948	6.410256	0.004890
2.535000	1.409380	6.510417	0.004444
2.574000	1.612115	6.610577	0.003987
2.613000	1.737909	6.710737	0.004108
2.652000	1.791646	6.810897	0.002756
2.691000	1.787982	6.911058	0.006424
2.730000	1.702491	7.011218	0.003784
2.769000	1.466781	7.111378	0.006046
2.808000	0.934294	7.211538	0.008442
2.847000	0.508061	7.311699	0.015652
2.886000	0.901319	7.411859	0.028492
2.925000	1.281143	7.512019	0.021569
2.964000	1.529067	7.612179	0.013242
3.003000	1.697606	7.712340	0.019915
3.042000	1.779433	7.812500	0.023715
3.081000	1.792868	7.912660	0.016824
3.120000	1.753786	8.012821	0.007128
3.159000	1.593796	8.112981	0.000379
3.198000	1.185882	8.213141	0.001845
3.237000	0.556913	8.313301	0.001452
3.276000	0.699805	8.413462	0.002273
3.315000	1.146800	8.513622	0.002220
3.354000	1.436248	8.613782	0.000827
3.393000	1.632877	8.713942	0.001849
3.432000	1.751343	8.814103	0.000729
3.471000	1.790425	8.914263	0.001779
3.510000	1.784319	9.014423	0.001260
3.549000	1.687836	9.114583	0.001556
3.588000	1.424035	9.214744	0.001358
3.627000	0.873229	9.314904	0.002456
3.666000	0.522716	9.415064	0.002711
3.705000	0.939179	9.515224	0.002526
3.744000	1.297020	9.615385	0.003091
3.783000	1.538837	9.715545	0.004254
3.822000	1.701270	9.815705	0.012528
3.861000	1.781876	9.915865	0.009289
3.900000	1.796532	10.016026	0.003353
3.939000	1.755007	10.116186	0.006082
3.978000	1.597460	10.216346	0.000946
4.017000	1.200537	10.316506	0.002946
4.056000	0.572789	10.416667	0.011541
4.095000	0.688813	10.516827	0.009202
4.134000	1.127259	10.616987	0.002958
4.173000	1.427699	10.717147	0.001764
4.212000	1.636541	10.817308	0.002025
4.251000	1.753786	10.917468	0.002373
4.290000	1.794089	11.017628	0.001877
4.329000	1.783097	11.117788	0.001030
4.368000	1.675623	11.217949	0.001086
4.407000	1.409380	11.318109	0.000596
4.446000	0.839033	11.418269	0.001553
4.485000	0.537372	11.518429	0.001165
4.524000	0.969712	11.618590	0.001358
4.563000	1.323889	11.718750	0.001168
4.602000	1.576698	11.818910	0.001768
4.641000	1.725696	11.919071	0.001024
4.680000	1.789204	12.019231	0.002063
4.719000	1.787982	12.119391	0.001587
4.758000	1.689057	12.219551	0.003217
4.797000	1.414265	12.319712	0.006112
4.836000	0.825598	12.419872	0.002154
4.875000	0.566683	12.520032	0.004528
4.914000	1.003908	12.620192	0.003437
