time	voltage	freq	vrms
0.000000	1.436248	0.000000	1.382854
0.039000	1.601124	0.100160	0.005023
0.078000	1.698828	0.200321	0.000918
0.117000	1.748901	0.300481	0.000915
0.156000	1.764778	0.400641	0.000985
0.195000	1.757450	0.500801	0.001230
0.234000	1.693942	0.600962	0.001412
0.273000	1.548608	0.701122	0.000446
0.312000	1.174890	0.801282	0.001406
0.351000	0.560576	0.901442	0.001860
0.390000	0.586224	1.001603	0.002883
0.429000	1.021006	1.101763	0.002684
0.468000	1.316561	1.201923	0.000587
0.507000	1.513190	1.302083	0.002627
0.546000	1.642648	1.402244	0.005318
0.585000	1.718368	1.502404	0.004050
0.624000	1.757450	1.602564	0.012622
0.663000	1.763556	1.702724	0.012353
0.702000	1.751343	1.802885	0.049416
0.741000	1.689057	1.903045	0.168186
0.780000	1.527846	2.003205	0.275679
0.819000	1.118710	2.103365	0.168251
0.858000	0.517831	2.203526	0.060555
0.897000	0.609428	2.303686	0.006155
0.936000	1.035662	2.403846	0.007097
0.975000	1.306790	2.504006	0.009816
1.014000	1.494871	2.604167	0.001097
1.053000	1.624328	2.704327	0.007291
1.092000	1.709819	2.804487	0.003838
1.131000	1.755007	2.904647	0.005291
1.170000	1.763556	3.004808	0.006320
1.209000	1.757450	3.104968	0.003946
1.248000	1.714704	3.205128	0.005534
1.287000	1.581583	3.305288	0.003696
1.326000	1.281143	3.405449	0.002539
1.365000	0.705911	3.505609	0.010362
1.404000	0.503175	3.605769	0.009658
1.443000	0.925745	3.705929	0.025483
1.482000	1.234734	3.806090	0.062173
1.521000	1.449682	3.906250	0.083662
1.560000	1.603566	4.006410	0.025721
1.599000	1.698828	4.106571	0.078912
1.638000	1.747680	4.206731	0.066697
1.677000	1.764778	4.306891	0.021639
1.716000	1.759893	4.407051	0.004752
1.755000	1.728139	4.507212	0.003081
1.794000	1.625550	4.607372	0.005920
1.833000	1.414265	4.707532	0.005202
1.872000	0.913532	4.807692	0.003576
1.911000	0.444553	4.907853	0.005570
1.950000	0.752320	5.008013	0.003653
1.989000	1.143136	5.108173	0.005457
2.028000	1.398388	5.208333	0.004103
2.067000	1.559599	5.308494	0.000318
2.106000	1.667074	5.408654	0.005751
2.145000	1.728139	5.508814	0.007030
2.184000	1.761114	5.608974	0.011655
2.223000	1.762335	5.709135	0.026911
2.262000	1.748901	5.809295	0.035312
2.301000	1.689057	5.909455	0.019279
2.340000	1.533952	6.009615	0.018032
2.379000	1.144358	6.109776	0.014311
2.418000	0.548363	6.209936	0.034848
2.457000	0.580117	6.310096	0.027219
2.496000	1.012457	6.410256	0.007774
2.535000	1.294577	6.510417	0.000750
2.574000	1.489985	6.610577	0.003745
