time	voltage	freq	vrms
0.000000	1.820957	0.000000	1.366043
0.039000	1.753786	0.200321	0.002002
0.078000	1.436248	0.400641	0.003106
0.117000	0.765755	0.600962	0.003811
0.156000	0.694919	0.801282	0.004298
0.195000	1.191988	1.001603	0.005199
0.234000	1.549829	1.201923	0.006265
0.273000	1.763556	1.402244	0.006946
0.312000	1.824621	1.602564	0.010234
0.351000	1.730581	1.802885	0.011448
0.390000	1.387396	2.003205	0.014721
0.429000	0.701026	2.203526	0.017919
0.468000	0.743771	2.403846	0.025017
0.507000	1.228627	2.604167	0.025858
0.546000	1.576698	2.804487	0.047011
0.585000	1.776991	3.004808	0.104046
0.624000	1.823400	3.205128	0.171714
0.663000	1.718368	3.405449	0.310831
0.702000	1.337323	3.605769	0.098385
0.741000	0.644846	3.806090	0.059680
0.780000	0.792623	4.006410	0.037909
0.819000	1.272594	4.206731	0.031222
0.858000	1.608451	4.407051	0.024006
0.897000	1.785540	4.607372	0.024210
0.936000	1.824621	4.807692	0.020766
0.975000	1.706155	5.008013	0.018909
1.014000	1.317782	5.208333	0.017304
1.053000	0.643625	5.408654	0.016956
1.092000	0.803615	5.608974	0.016381
1.131000	1.275037	5.809295	0.016060
1.170000	1.606009	6.009615	0.016500
1.209000	1.785540	6.209936	0.031541
1.248000	1.822179	6.410256	0.052902
1.287000	1.707377	6.610577	0.071228
1.326000	1.317782	6.810897	0.060227
1.365000	0.635076	7.011218	0.014326
1.404000	0.804836	7.211538	0.011544
1.443000	1.281143	7.411859	0.008649
1.482000	1.619443	7.612179	0.007443
1.521000	1.791646	7.812500	0.006658
1.560000	1.824621	8.012821	0.007625
1.599000	1.695164	8.213141	0.005977
1.638000	1.273815	8.413462	0.006640
1.677000	0.611871	8.613782	0.003983
1.716000	0.841475	8.814103	0.008078
1.755000	1.309233	9.014423	0.006602
1.794000	1.634099	9.214744	0.008941
1.833000	1.794089	9.415064	0.004406
1.872000	1.818515	9.615385	0.007841
1.911000	1.643869	9.815705	0.019024
1.950000	1.132145	10.016026	0.027227
1.989000	0.586224	10.216346	0.025284
2.028000	0.991695	10.416667	0.005696
2.067000	1.419150	10.616987	0.007711
2.106000	1.701270	10.817308	0.007143
2.145000	1.817294	11.017628	0.006080
2.184000	1.783097	11.217949	0.006440
2.223000	1.507084	11.418269	0.006276
2.262000	0.853688	11.618590	0.005747
2.301000	0.676600	11.818910	0.005839
2.340000	1.171226	12.019231	0.007538
2.379000	1.558378	12.219551	0.014514
2.418000	1.769663	12.419872	0.004291
2.457000	1.822179	12.620192	0.011989
2.496000	1.700049	12.820513	0.011183
2.535000	1.270151		
2.574000	0.604543		
2.613000	0.884221		
2.652000	1.353200		
2.691000	1.663410		
2.730000	1.806302		
2.769000	1.802638		
2.808000	1.574255		
2.847000	0.988031		
2.886000	0.625305		
2.925000	1.095506		
2.964000	1.497313		
3.003000	1.742794		
3.042000	1.823400		
3.081000	1.737909		
3.120000	1.376404		
3.159000	0.674157		
3.198000	0.787738		
3.237000	1.279922		
3.276000	1.625550		
3.315000	1.795310		
3.354000	1.812408		
3.393000	1.612115		
3.432000	1.057645		
3.471000	0.602101		
3.510000	1.056424		
3.549000	1.469223		
3.588000	1.723254		
3.627000	1.820957		
3.666000	1.761114		
3.705000	1.441133		
3.744000	0.758427		
3.783000	0.735222		
3.822000	1.220078		
3.861000	1.582804		
3.900000	1.783097		
3.939000	1.819736		
3.978000	1.673180		
4.017000	1.201759		
4.056000	0.586224		
4.095000	0.941622		
4.134000	1.395945		
4.173000	1.692721		
4.212000	1.813630		
4.251000	1.791646		
4.290000	1.516854		
4.329000	0.876893		
4.368000	0.659502		
4.407000	1.160234		
4.446000	1.542501		
4.485000	1.763556		
4.524000	1.825843		
4.563000	1.712262		
4.602000	1.301905		
4.641000	0.619199		
4.680000	0.864680		
4.719000	1.326331		
4.758000	1.648754		
4.797000	1.801417		
4.836000	1.809966		
4.875000	1.609673		
4.914000	1.049096		
4.953000	0.595994		
