time	voltage	freq	vrms
0.000000	0.409135	0.000000	1.305283
0.039000	0.418906	0.100160	0.011556
0.078000	0.843918	0.200321	0.004015
0.117000	1.124817	0.300481	0.001220
0.156000	1.311676	0.400641	0.001693
0.195000	1.430142	0.500801	0.005567
0.234000	1.511969	0.600962	0.002167
0.273000	1.579140	0.701122	0.001563
0.312000	1.613337	0.801282	0.005952
0.351000	1.636541	0.901442	0.005180
0.390000	1.642648	1.001603	0.001879
0.429000	1.638984	1.101763	0.008000
0.468000	1.632877	1.201923	0.019918
0.507000	1.613337	1.302083	0.035768
0.546000	1.538837	1.402244	0.063514
0.585000	1.402052	1.502404	0.136793
0.624000	1.052760	1.602564	0.247110
0.663000	0.475085	1.702724	0.183316
0.702000	0.390816	1.802885	0.036678
0.741000	0.798730	1.903045	0.007371
0.780000	1.096727	2.003205	0.008606
0.819000	1.293356	2.103365	0.006271
0.858000	1.424035	2.203526	0.006058
0.897000	1.507084	2.303686	0.005202
0.936000	1.568149	2.403846	0.006104
0.975000	1.597460	2.504006	0.009108
1.014000	1.629213	2.604167	0.009461
1.053000	1.641426	2.704327	0.019396
1.092000	1.636541	2.804487	0.033755
1.131000	1.634099	2.904647	0.040408
1.170000	1.626771	3.004808	0.057889
1.209000	1.580362	3.104968	0.062940
1.248000	1.459453	3.205128	0.031865
1.287000	1.217636	3.305288	0.113174
1.326000	0.721788	3.405449	0.058628
1.365000	0.313874	3.505609	0.022327
1.404000	0.637518	3.605769	0.004723
1.443000	1.000244	3.705929	0.002644
1.482000	1.206644	3.806090	0.005742
1.521000	1.365413	3.906250	0.009082
1.560000	1.468002	4.006410	0.005963
1.599000	1.546165	4.106571	0.009449
1.638000	1.588911	4.206731	0.015705
1.677000	1.610894	4.306891	0.021071
1.716000	1.635320	4.407051	0.026461
1.755000	1.641426	4.507212	0.022082
1.794000	1.640205	4.607372	0.021362
1.833000	1.635320	4.707532	0.010652
1.872000	1.620664	4.807692	0.033027
1.911000	1.573034	4.907853	0.032394
1.950000	1.454568	5.008013	0.049313
1.989000	1.168784	5.108173	0.024679
2.028000	0.646067	5.208333	0.009261
2.067000	0.317538	5.308494	0.007290
